world_id,policy,parameter,endpoint,parameter_value,value,delta_static,delta_myopic
oat_dynamics_payment_income_cap_low,AlwaysDecrease20,dynamics.payment_income_cap,low,0.4,-817.3546533088913,1115.8977498051754,874.2135068674843
oat_dynamics_payment_income_cap_low,AlwaysIncrease,dynamics.payment_income_cap,low,0.4,-2211.5592033323333,-278.3068002182665,-519.9910431559576
oat_dynamics_payment_income_cap_low,MyopicEconomic,dynamics.payment_income_cap,low,0.4,-1691.5681601763756,241.68424293769112,0.0
oat_dynamics_payment_income_cap_low,PDThreshold,dynamics.payment_income_cap,low,0.4,-1183.3790336951572,749.8733694189095,508.1891264812184
oat_dynamics_payment_income_cap_low,PPO,dynamics.payment_income_cap,low,0.4,-817.3546533088913,1115.8977498051754,874.2135068674843
oat_dynamics_payment_income_cap_low,PPO_without_PD,dynamics.payment_income_cap,low,0.4,-817.3546533088913,1115.8977498051754,874.2135068674843
oat_dynamics_payment_income_cap_low,Random,dynamics.payment_income_cap,low,0.4,-1615.8969146097807,317.3554885042861,75.67124556659496
oat_dynamics_payment_income_cap_low,SIMULATOR_ONLY_ORACLE_Myopic,dynamics.payment_income_cap,low,0.4,-1627.2327081021276,306.0196950119391,64.335452074248
oat_dynamics_payment_income_cap_low,Static,dynamics.payment_income_cap,low,0.4,-1933.2524031140667,0.0,-241.68424293769112
oat_dynamics_payment_income_cap_low,UtilizationPD,dynamics.payment_income_cap,low,0.4,-1168.1490146978956,765.1033884161711,523.41914547848
oat_dynamics_payment_persistence_high,AlwaysDecrease,dynamics.payment_persistence,high,0.75,-1008.6063028720341,986.6313924482183,1079.4946177037223
oat_dynamics_payment_persistence_high,AlwaysDecrease20,dynamics.payment_persistence,high,0.75,-797.1557317033576,1198.0819636168949,1290.9451888723988
oat_dynamics_payment_persistence_high,AlwaysIncrease,dynamics.payment_persistence,high,0.75,-2386.9089661595567,-391.67127083930427,-298.8080455838003
oat_dynamics_payment_persistence_high,MyopicEconomic,dynamics.payment_persistence,high,0.75,-2088.1009205757564,-92.86322525550395,0.0
oat_dynamics_payment_persistence_high,PDThreshold,dynamics.payment_persistence,high,0.75,-1323.7743615936156,671.4633337266368,764.3265589821408
oat_dynamics_payment_persistence_high,PPO,dynamics.payment_persistence,high,0.75,-797.1557317033576,1198.0819636168949,1290.9451888723988
oat_dynamics_payment_persistence_high,PPO_without_PD,dynamics.payment_persistence,high,0.75,-797.1557317033576,1198.0819636168949,1290.9451888723988
oat_dynamics_payment_persistence_high,Random,dynamics.payment_persistence,high,0.75,-1740.9507227148406,254.28697260541185,347.1501978609158
oat_dynamics_payment_persistence_high,SIMULATOR_ONLY_ORACLE_Myopic,dynamics.payment_persistence,high,0.75,-1932.03353371255,63.20416160770242,156.06738686320637
oat_dynamics_payment_persistence_high,Static,dynamics.payment_persistence,high,0.75,-1995.2376953202524,0.0,92.86322525550395
oat_dynamics_payment_persistence_high,UtilizationPD,dynamics.payment_persistence,high,0.75,-1328.3665524157896,666.8711429044629,759.7343681599668
oat_dynamics_payment_persistence_low,AlwaysDecrease,dynamics.payment_persistence,low,0.25,-727.6618411716876,954.1516975131682,513.0948187358282
oat_dynamics_payment_persistence_low,AlwaysDecrease20,dynamics.payment_persistence,low,0.25,-795.9962292294706,885.8173094553852,444.76043067804517
oat_dynamics_payment_persistence_low,AlwaysIncrease,dynamics.payment_persistence,low,0.25,-1804.3439584724163,-122.5304197875605,-563.5872985649005
oat_dynamics_payment_persistence_low,MyopicEconomic,dynamics.payment_persistence,low,0.25,-1240.7566599075158,441.05687877734,0.0
oat_dynamics_payment_persistence_low,PDThreshold,dynamics.payment_persistence,low,0.25,-896.1991302227309,785.6144084621249,344.55752968478487
oat_dynamics_payment_persistence_low,PPO,dynamics.payment_persistence,low,0.25,-795.9962292294706,885.8173094553852,444.76043067804517
oat_dynamics_payment_persistence_low,PPO_without_PD,dynamics.payment_persistence,low,0.25,-795.9962292294706,885.8173094553852,444.76043067804517
oat_dynamics_payment_persistence_low,Random,dynamics.payment_persistence,low,0.25,-1532.7631915164511,149.05034716840464,-292.00653160893535
oat_dynamics_payment_persistence_low,SIMULATOR_ONLY_ORACLE_Myopic,dynamics.payment_persistence,low,0.25,-1393.3518330692268,288.46170561562894,-152.59517316171105
oat_dynamics_payment_persistence_low,Static,dynamics.payment_persistence,low,0.25,-1681.8135386848558,0.0,-441.05687877734
oat_dynamics_payment_persistence_low,UtilizationPD,dynamics.payment_persistence,low,0.25,-838.8025354755542,843.0110032093015,401.95412443196153
oat_dynamics_spend_limit_elasticity_high,AlwaysDecrease,dynamics.spend_limit_elasticity,high,0.3,-871.7950565981844,972.6667235071002,788.8971293268412
oat_dynamics_spend_limit_elasticity_high,AlwaysDecrease20,dynamics.spend_limit_elasticity,high,0.3,-788.7894285414279,1055.6723515638566,871.9027573835976
oat_dynamics_spend_limit_elasticity_high,AlwaysIncrease,dynamics.spend_limit_elasticity,high,0.3,-2286.376148706914,-441.9143686016296,-625.6839627818886
oat_dynamics_spend_limit_elasticity_high,MyopicEconomic,dynamics.spend_limit_elasticity,high,0.3,-1660.6921859250256,183.769594180259,0.0
oat_dynamics_spend_limit_elasticity_high,PDThreshold,dynamics.spend_limit_elasticity,high,0.3,-1064.0402450568383,780.4215350484462,596.6519408681872
oat_dynamics_spend_limit_elasticity_high,PPO,dynamics.spend_limit_elasticity,high,0.3,-788.7894285414279,1055.6723515638566,871.9027573835976
oat_dynamics_spend_limit_elasticity_high,PPO_without_PD,dynamics.spend_limit_elasticity,high,0.3,-788.7894285414279,1055.6723515638566,871.9027573835976
oat_dynamics_spend_limit_elasticity_high,Random,dynamics.spend_limit_elasticity,high,0.3,-1669.0163014215195,175.44547868376503,-8.32411549649396
oat_dynamics_spend_limit_elasticity_high,SIMULATOR_ONLY_ORACLE_Myopic,dynamics.spend_limit_elasticity,high,0.3,-1213.8346836587666,630.627096446518,446.85750226625896
oat_dynamics_spend_limit_elasticity_high,Static,dynamics.spend_limit_elasticity,high,0.3,-1844.4617801052846,0.0,-183.769594180259
oat_dynamics_spend_limit_elasticity_high,UtilizationPD,dynamics.spend_limit_elasticity,high,0.3,-1069.2339379635514,775.2278421417332,591.4582479614742
oat_dynamics_spend_limit_elasticity_low,AlwaysDecrease,dynamics.spend_limit_elasticity,low,0.05,-883.7840051913485,960.6777749139361,761.2401522096278
oat_dynamics_spend_limit_elasticity_low,AlwaysDecrease20,dynamics.spend_limit_elasticity,low,0.05,-796.7712544521664,1047.6905256531181,848.2529029488098
oat_dynamics_spend_limit_elasticity_low,AlwaysIncrease,dynamics.spend_limit_elasticity,low,0.05,-2066.731625487678,-222.2698453823932,-421.7074680867015
